Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
CYL77_RS00005,-0.0018194460197360535,-0.014616148826384467,-0.005425068943767417,-0.01063989688717893,0.0003684114230088043,-0.005287886144998501,-0.014696297059884145,0.0014663311198862103,-0.006988624066525149,0.011844570519720368,0.02342654355987209,0.0015582116582021491,0.008555764524258925,0.00727819642471502,0.002089233581078616,-0.00394324163035253,-0.00623762472026343,-0.012677702407667921,0.012245733187635362,-0.0007551330312787212,-0.006424828237679821,0.0024755926909764427,-0.0002374225208899884,0.01025441235525956,-0.01592991265206066,-0.0034829181438693502,-0.008919335827117271,0.0035645056976655975,0.002098290319359557,-0.010816565526390359,-0.006035978902688782,-0.0004109508271259284,0.0009021362398504146,-0.0027859195665913238,-0.011882002264454645,-0.03466536172670964,-0.004667420095307862,-0.016224009233491994,-0.01105243305760827,-0.009367246472852824
CYL77_RS00015,-0.01654200024902419,-0.01862101229290272,-0.005527571728276802,-0.014115594094119726,0.012984371294683649,-0.013165030201925205,0.0028233341818148317,-0.010283024399162823,-0.01288026515608669,0.011416120610240034,0.016153682443552565,-0.014358080199431307,-0.003713713039679178,0.0031217711224565737,0.0025199575612575493,-0.0017889785250551884,-0.022193052425505573,-0.0024859028330033906,0.004888303024992749,0.00019015498069248186,-0.022881847265750207,-0.0006623923058474219,-0.0043714342416077,-0.009419900782650297,-0.001633622042781662,-0.007309986794655482,0.014787909354407096,0.008425598981188132,-0.002919175316004344,0.00015794645927920476,0.019803311016360348,0.00018489956179286058,-0.0019854210307847057,-0.004105185761482323,-0.012578784453148069,-0.004007444518047176,-0.001626000030648979,0.002436508544946714,-0.0013436497385298767,-0.005528570082835817
CYL77_RS00020,-0.0008789927631431136,-0.024345210440823554,-0.007007423256153509,-0.012817782838422,0.008821574333980526,-0.0029852449304175227,0.013146283646410987,0.008182059699810873,-0.0028901883399606314,-0.017969165769052494,-0.01107824013783615,-0.007041116338582324,0.004556252966329163,0.012599947652541844,0.002081286259968184,-0.013623015714587771,-0.01537497559714928,-0.009603789960531508,-0.007606553559331125,-0.011530045845852084,-0.006408024483228717,-0.011357703170987062,0.003961394886061635,0.002781925950191797,0.003282038222321945,0.004221490075992137,0.0003914483507394095,0.00836257570076585,-0.020348233894676646,0.022247447225640142,-0.0006200017637746499,0.011887060040313781,-0.0028863826892477785,-0.025824105337086522,-0.009288719476159071,-0.01998119404020174,-0.0019687341647944196,0.043421525138782655,0.008592048153638116,0.002626705699972628
CYL77_RS00025,-0.0026048224440702733,-0.03127347392234266,-0.000197126907563329,-0.004651768499579776,-0.024400302379795156,-0.008601034137482437,0.01142026596267639,-0.0013873941589273443,0.04578370458510778,-0.008099200408688806,-0.007906896008830504,0.011562539553133544,-0.009131754099163905,0.018598959121731273,-0.004225272141052239,0.003125027088549521,-0.005404338374268014,0.0020840306760012005,0.013256434449783859,-0.030347023797703626,-0.018439364616393717,-0.01697048264378533,-0.0775150836137227,-0.01653080981704429,0.0012461598093421503,0.009871437333738436,-0.013438544520960681,-0.005112409812808733,0.013500624781689315,0.00717973640786864,-0.012883433274640796,-0.023550678229367017,0.00014420853223436782,0.020066248335597427,0.007330698361999487,-0.01170691682729476,-0.007656984954569583,-0.0369634823194534,-0.0007767455586952328,-0.004736848266659538
CYL77_RS00030,0.003772470416229678,0.00475942643894701,0.0013122939053988737,-0.007096973596582608,0.004724828743099671,0.014187909285746201,0.009495888100590755,-0.0206217476937751,-0.008898021210246887,-0.0027667662073183543,0.006431914415304,-0.008763335879994408,-0.0008610947469682461,0.004955855738978969,-0.005753091939460785,-0.00042492017467869666,0.003943292356556648,0.0015133506678668034,0.0007445171890329859,0.00016456185614371365,0.006098280102687157,0.011414293615299807,-0.0027177863167504486,-0.0007887196386874414,-0.008819803129225099,0.000497162533483059,-0.011949443945019038,-0.004772320741900657,0.002001649028047264,0.008584456276175436,-0.00518526505096228,-0.0021326840228584193,-0.0019324172396543969,-0.002729085316888383,-0.006401292461245009,-0.007771277244699286,0.013975415225196394,-0.004508682043538151,0.0050979057666893,-0.00018046853092222966
CYL77_RS00035,-0.010898346593512999,-0.0015763375374649993,0.0072269286455295964,0.004584136449626974,0.0110442970925863,0.028157089955085274,0.01840399896920699,0.02161492469127592,-0.0049277706806548395,0.004209735053468398,-0.0063762487114107595,0.003517377419153125,-0.009204569480593774,0.006224244224827539,-0.008865312648326852,-0.003231726431038327,-0.009625125826598125,0.001353475572262039,-0.010450670679682724,0.0008592563593423687,-0.02186320318144352,0.001470687266353606,-0.013269216063062588,0.008222686685261679,0.0031687947328245102,-0.02310936515409242,0.004541968022576683,0.01152154332415758,-0.011967547910637701,-0.02068622739994635,-0.021415039297308626,0.013390027981498395,0.03080343249862664,0.010446813239418309,0.012174679930857033,-0.00826721195853613,-0.015929291384695784,0.016771397382995348,0.0009586143617147731,-0.00999733270829315
CYL77_RS00040,-0.0034456238049969195,-0.005233780164500513,0.0035070066413101786,0.009588416506990416,-0.019255407889519637,0.0030099712732660077,-0.010958547383866188,0.03711709551486151,-0.0025332037971998126,0.00240417726225101,-0.03747526461054518,-0.021653761132349233,-0.01689938467898767,0.019159218000633877,0.001911375809786822,-0.01012572343389329,0.014189791529242789,0.004566085767041728,0.024720866432077226,-0.01882256348384089,-0.013868148507453461,0.008637364542010422,0.0024714150973127813,-0.005528861739522093,0.011420910575729701,0.024011010202617172,0.0008656105219991972,0.003973150209312606,-0.04672792531938226,-0.0028311442982554354,-0.0022599502327242463,-0.008282833427504464,-0.03876288704690653,-0.04269750431097099,0.0008898171369536441,0.03722361967156042,-0.0014844396711933042,0.0031593001236215335,0.022785381119388486,0.017223462955653742
CYL77_RS00045,0.0031744681899452194,-0.028453202395965157,0.01269661167702423,-0.016107564930902738,-0.0026920199649556774,-0.01626022204678557,-0.0010250817474617452,-0.00562458018069528,-0.006484272191967609,0.017281206011042532,-0.004400117496431935,-0.004951734158704446,-0.003435822594230668,0.0016274162416819655,0.0013563599603274273,0.006913106110355893,-0.020306598397750304,0.004296614681672956,-0.0002444697905834652,-0.002003149170740794,0.03495303148939745,0.022753078443731777,-0.0033919370133001997,0.03135827677941013,0.005823041255269132,0.021111001312697917,0.015158310276173774,0.006932267546596078,-0.004424095632233659,-0.013268910087481206,0.0019261493790546167,0.014799803193653377,0.006066974950954817,-0.02441524615739513,-0.012850021045593085,0.04148819356914177,-0.0003970709217594131,0.008592841795766065,-0.0064439301576324414,-0.002189815502057475
CYL77_RS00050,-0.000873652358026487,-0.01998345365407547,-0.015399403912376113,-0.0005211579244646469,0.005019729794172019,0.006328320422389672,0.046156520463122484,0.004306306548031451,0.004177622181942514,-0.03463896015123534,-0.024874911666346144,-0.04856582111063167,0.029241828978465927,-0.028548830333442993,-0.009949159379424284,0.021599668963045927,0.014947329502224651,0.005180345856446164,0.000809807408583032,0.009551894645843006,-0.03283810427827449,0.031864198064683755,-0.011774657453100482,0.011546742780104449,-0.03301124971867571,-0.007190830394059267,0.0005965168226946216,-0.010687557876243505,-0.011452799332464136,-0.009284231373316142,-0.008006927181023905,-0.0008436160085886469,-0.0010888984666107336,-0.007223795600884977,0.00780666696998147,0.0039671744596196925,0.0041701447275145406,0.00830410683354964,0.002982163560462914,0.010172881315729623
CYL77_RS00055,-0.013200796658523084,-0.008278747977888109,0.013788248537888787,0.04696954987524781,0.017431356430203455,-0.013384481884547994,-0.006776017179301228,-0.041648234214321914,0.0599266623975295,0.02641186048467424,0.04438873924575577,0.007725341411126765,0.09115363053573879,0.0018425464602620297,0.01937313156188976,-0.006718851346730745,0.051494461254508316,0.03230956849537776,-0.007870285705754688,0.035166161302645854,-0.024282224546766276,0.0027960437716133906,-0.030166937518609584,0.014573818426274194,-0.01730666591611602,-0.009258625238149435,0.006494169487434179,-0.0184096167837037,0.053124197521120145,0.0005204532895116371,-0.02615854971581633,0.050040111205855595,0.06424870056618838,0.004074780187637261,-0.035875963558588714,-0.003962935493245631,0.03432146812199903,0.053821146580676604,-0.015444825645087363,0.04845679417514095
