Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
CYL77_RS00005,-0.0056893180566016804,-0.004481822035476252,0.002101296685827283,-0.012573706328715404,7.511664099950424e-05,0.008473977872245441,0.017511946396879086,0.000942018653389672,-0.0021625607076026497,-0.007745453578320762,-0.011759306574119449,0.008281360431689208,-0.005164539618171802,-0.0008906435040819201,-0.00665183058090852,0.013299521646596592,-0.006632710578514537,-0.006824881696583765,-0.00014578418497473156,0.001809894823326222,0.0005843194024786191,-0.014147636181581116,0.01819260214754969,-0.0325681455020023,-0.00847630921825758,-0.006025240338439101,0.014557649083999804,-0.00795603750965597,-0.023233726655236788,-0.008536857794816938
CYL77_RS00015,-0.005835939484792824,-0.012974534060785442,0.002648648636106564,-0.00922662374945679,0.0005204126977522115,-0.0019176546496805693,-0.013369331713499527,-0.028826635057341086,0.0003527085563683387,0.013027472021600364,-0.013592143163735294,0.003654215126507469,-0.0019253255119273842,0.014674064276890221,-0.0202939648480323,0.00545017848539212,-0.00684372184228471,-0.0047876245296889375,0.0036861397329236347,-0.002740911727775921,-0.01676995216911008,0.0019398108151658126,0.01260093360368188,-0.0036231032950168256,-0.013540153596444856,0.0002101692050339599,0.016400100295089863,-0.012318964613254036,-0.020689464507815298,0.0037805702375196992
CYL77_RS00020,-0.007108556123926988,0.003287260235076226,-0.006648063991539453,-0.01130815366016559,0.01007918953355198,0.003204636048881366,-0.006410405549648118,-0.00748300802682408,-0.014542141836515978,0.003614270905032724,-0.014858967958668956,-0.029840395852131992,-0.0004631179901013733,0.012024801972459387,-0.01728000332652153,-0.0027813391945392812,-0.008930777175939108,-0.015221503908433616,0.007337788344191829,-0.00800530999172617,0.00144730305845927,0.009297727056092699,-0.020719526567745644,-0.017386615148818396,-0.010676202769759844,-0.008567718043184382,0.024459658308852994,-0.0013988535676813247,0.01397003905896152,0.006018367409738001
CYL77_RS00025,-0.01272487999705414,-0.01862874321040459,-0.008808987001157405,0.005163774174564739,-0.019166273480785322,-0.004351647441076938,-0.001961954599335923,0.0005064948362501391,-0.00259047040488067,-0.013762154729969348,-0.008847241635449312,0.00989628842267122,0.008166518141418258,-0.0077247558555850904,-0.014336479915329756,0.03807925417909035,0.00803977142308784,-0.015242492567571854,-0.004044235030621951,0.0011880526528129775,0.012326339754596667,0.012603366592962892,0.010020555825295669,-0.003717452525503909,-0.005400648948133616,-0.006308799998123227,0.04545636610440534,0.04535427880314792,0.013287764457060876,0.0029685925057684305
CYL77_RS00030,0.009039506993319056,-0.016157420655003203,0.007628851840214567,-0.006678624408720183,-0.002155205703880929,-0.0011327865493906699,-0.003963562844932517,0.01582998992333085,-0.0018729465502284194,-0.0006914406256284063,-0.008928919912913637,0.006392667967203228,0.005714705439117489,0.008892970924457459,0.003240674897026187,0.0003979710772011616,-0.0051489506448799596,-0.0060069231902007926,-0.004781777311549234,-0.0023008096256385223,0.006962625481082733,0.008246695458085313,0.0034652396275252156,-0.011110531131822692,0.014474611550068002,-0.0014565973473924078,-0.0036530249407326215,-0.011790186726233247,0.002399147342068044,-0.003066506025571866
CYL77_RS00035,-0.018201562996038298,0.007486932196594302,0.0024064906899164424,0.01005442916655144,0.015872606079782633,-0.008535555674774766,0.0020607079901410964,-0.02022272211418106,-0.0029128856678027172,-0.022613699878421604,0.0052693210601130755,0.010330577745005272,0.003949660887534372,-0.004664291492806417,-0.01021272966497471,-0.007741075397531994,0.008619778986755897,-0.00844334993712029,0.0054705070064479675,0.029517510832416542,-0.008287679659296313,0.016340907295345743,-0.019647333128965366,-0.010600428687168793,0.023601834008765088,0.004689838528062063,0.005690078969465602,-0.001364987667757987,0.006657817810264675,0.006404975593445708
CYL77_RS00040,0.0013230920118102742,0.02746517967016861,0.014382482476561145,-0.004944474006841582,-0.010326595187859602,-0.02218820881942619,0.008741925400645762,-0.015164292375455295,-0.0056025255040029875,-0.01881814470528576,0.01132408556419542,-0.03243385298154502,-0.0007968102451643749,0.02069657043201818,0.0034661713918231235,0.004269826324992706,-0.025953049794605512,-0.015768274404426928,0.0028196060072855794,-0.0387298040420135,-0.006642649541895362,-0.015742914588223376,-0.02408637797035877,0.040031562393366825,0.017415863240004163,-0.0013671971747701392,0.001438821879256684,0.0004624835201115739,0.002689542312192644,0.02828236107994342
CYL77_RS00045,0.00975883051698422,0.0013708001662053517,0.026420653161583915,-0.004531205405750375,0.015738497353997,-0.004611921006059208,0.03126491899302229,0.011329576858437846,0.008223269007721589,-0.008127377572984987,-0.009376557029480844,-0.014054992258083225,0.0009491172726385617,0.010585769908924183,-0.006801297386492667,0.0040712092077316245,-0.01669426833547319,-0.00018521558672095393,0.012485790727821957,0.006726398745621383,-0.005010710827935222,0.0010798654409216102,-0.0026983021335462553,0.043770619633696814,-0.00770559040434967,0.022891076579771373,0.027361223603384638,-0.005423986958421317,-0.007500777152061387,-0.004627095255340048
CYL77_RS00050,-0.008975780625568756,0.00012191045721375972,0.02816622074250031,-0.010659794805980203,0.0014976949630154468,0.017951928612604834,0.011936050356218442,-0.022759017430270513,0.018668280366275096,-0.0007254123203721626,-0.00023676453834938215,0.010318425051961826,0.006200186443423612,0.04763991864130628,0.0066813432367284166,-0.023257403763553394,-0.01009946838107272,0.03018172185469727,-0.01803000818343427,-0.006032324714371496,0.0035699647995534084,0.04021535446224012,-0.035494311170819,0.0014393531774780327,0.012891943882681263,-0.0374135903085248,0.016900366459694203,0.002994228408864373,0.016478800317064588,-0.015659594856110123
CYL77_RS00055,0.026668607512898596,0.009168981642126376,-0.0027066931671340857,-0.0326287326737912,0.05916719364084241,0.09367888689295452,-0.0006136307292245982,-0.013162371357192226,-0.02015776599362467,-0.0037177343167169386,0.03230774778172519,-0.015498454904023774,-0.01794424710529102,-0.01386465853734626,0.028026919660628754,-0.0027446091573625785,0.008008779775732272,-0.0040349885230822865,-0.027424687337180464,0.06184431447717462,-0.012380117772982755,-0.006268974042453766,0.023779866375950132,-0.008105437986993291,-0.007516266860972375,0.013672832471798964,0.01131847578618665,0.05373135338084906,-0.013520427627367809,-0.030246377144320807
